filename,label,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14
1-29561-A-10.wav,0,[0.         0.23600069 0.         ... 0.15888318 0.43558306 0.        ],[0.         0.15532498 0.         ... 0.20936486 0.31542578 0.        ],[0.         0.14679007 0.         ... 0.19928521 0.37914217 0.        ],[0.         0.19774055 0.         ... 0.1873697  0.32910463 0.        ],[0.         0.21964304 0.         ... 0.20062521 0.31172535 0.        ],[0.         0.24532408 0.         ... 0.19588278 0.2948988  0.        ],[0.         0.23856276 0.         ... 0.18301974 0.31916556 0.        ],[0.         0.29381898 0.         ... 0.1483852  0.38792804 0.        ],[0.         0.3061347  0.         ... 0.14076215 0.44416526 0.        ],[0.         0.29438603 0.         ... 0.15354533 0.37923783 0.        ],[0.         0.25504422 0.         ... 0.17662323 0.2754632  0.        ],[0.         0.14360121 0.         ... 0.20751606 0.24069163 0.        ],[0.         0.08841282 0.         ... 0.24139582 0.17522934 0.        ],[0.         0.05703425 0.         ... 0.2455346  0.08500749 0.        ],[0.         0.1412202  0.         ... 0.21671057 0.23218471 0.        ]
1-35687-A-38.wav,0,[0.         0.36384463 0.         ... 0.17359224 0.76200974 0.        ],[0.         0.34653687 0.         ... 0.17561787 0.6934415  0.        ],[0.         0.3777856  0.         ... 0.19752264 0.6816134  0.        ],[0.         0.41966528 0.         ... 0.16951811 0.72282857 0.        ],[0.        0.3526946 0.        ... 0.1795538 0.6618563 0.       ],[0.         0.3935716  0.         ... 0.20113608 0.6496785  0.        ],[0.         0.39422083 0.         ... 0.16719583 0.6829852  0.        ],[0.         0.35891217 0.         ... 0.18204093 0.67790926 0.        ],[0.         0.40437403 0.         ... 0.1989657  0.6740529  0.        ],[0.         0.42276448 0.         ... 0.19769433 0.6955532  0.        ],[0.         0.34901485 0.         ... 0.17195103 0.64713275 0.        ],[0.         0.4156417  0.         ... 0.20647174 0.7019678  0.        ],[0.         0.41349024 0.         ... 0.18226136 0.743702   0.        ],[0.         0.35343027 0.         ... 0.17318487 0.6680736  0.        ],[0.         0.37658393 0.         ... 0.17046064 0.6271652  0.        ]
1-39901-A-11.wav,0,[0.         0.29655686 0.         ... 0.14316462 0.68681425 0.        ],[0.         0.40894514 0.         ... 0.13594592 0.6193191  0.        ],[0.         0.49303848 0.         ... 0.13564858 0.5808969  0.        ],[0.         0.53690034 0.         ... 0.14051363 0.5404932  0.        ],[0.         0.58668005 0.         ... 0.15598983 0.5030228  0.00662774],[0.         0.62430215 0.         ... 0.18116122 0.52111304 0.00227985],[0.         0.5992967  0.         ... 0.17893256 0.5339341  0.        ],[0.         0.5388792  0.         ... 0.15328884 0.5506867  0.        ],[0.         0.5066393  0.         ... 0.15140565 0.5292988  0.        ],[0.         0.54077864 0.         ... 0.13474935 0.4983332  0.        ],[0.         0.493457   0.         ... 0.14846517 0.53174573 0.        ],[0.        0.3650482 0.        ... 0.1544815 0.6348621 0.       ],[0.         0.32229435 0.         ... 0.13295904 0.61833745 0.        ],[0.         0.3764879  0.         ... 0.15911813 0.612639   0.        ],[0.         0.33205476 0.         ... 0.15789473 0.62874293 0.        ]
1-39901-B-11.wav,0,[0.         0.05062059 0.         ... 0.12593567 0.73447406 0.        ],[0.         0.03268248 0.         ... 0.089559   0.7296632  0.        ],[0.         0.24526182 0.         ... 0.10968851 0.72632277 0.        ],[0.         0.35584873 0.         ... 0.15405566 0.6578574  0.        ],[0.         0.41838455 0.         ... 0.17457122 0.61708176 0.        ],[0.        0.3957267 0.        ... 0.1869128 0.6137995 0.       ],[0.         0.39559588 0.         ... 0.1893436  0.6113518  0.        ],[0.         0.36379394 0.         ... 0.175569   0.64049566 0.        ],[0.00626891 0.30017614 0.         ... 0.16809608 0.5980431  0.        ],[0.01347207 0.14209954 0.         ... 0.12668815 0.54164433 0.        ],[0.         0.04287091 0.         ... 0.10966349 0.45431834 0.        ],[0.         0.14133082 0.         ... 0.14269024 0.42222974 0.        ],[0.         0.30706367 0.         ... 0.16048698 0.41061324 0.        ],[0.         0.38517177 0.         ... 0.20013425 0.5242043  0.        ],[0.         0.33250523 0.         ... 0.16898149 0.60627395 0.        ]
1-42139-A-38.wav,0,[0.         0.24547201 0.         ... 0.182017   0.81912434 0.        ],[0.         0.2944646  0.         ... 0.26162958 1.0794371  0.        ],[0.         0.33990315 0.         ... 0.28214547 1.0697367  0.        ],[0.         0.3785336  0.         ... 0.29402426 0.9895179  0.        ],[0.        0.336961  0.        ... 0.2559663 0.9504914 0.       ],[0.         0.30338877 0.         ... 0.24475901 1.0389729  0.        ],[0.         0.26725152 0.         ... 0.23083459 1.0342073  0.        ],[0.         0.2777157  0.         ... 0.22809799 0.95623887 0.        ],[0.         0.2590254  0.         ... 0.20283872 0.91201437 0.        ],[0.         0.27882707 0.         ... 0.23521425 0.91269004 0.        ],[0.         0.27964455 0.         ... 0.28856593 1.0606205  0.        ],[0.         0.28260306 0.         ... 0.29843664 1.0842292  0.        ],[0.        0.2837975 0.        ... 0.3002826 1.036417  0.       ],[0.         0.39228702 0.         ... 0.25560382 0.9903307  0.        ],[0.         0.3816569  0.         ... 0.20395803 0.8877566  0.        ]
1-43760-A-11.wav,0,[0.         0.38245147 0.         ... 0.18716529 0.44884974 0.        ],[0.         0.4224396  0.         ... 0.17185183 0.2878384  0.        ],[0.         0.4682096  0.         ... 0.17971769 0.3843983  0.        ],[0.00142565 0.44778848 0.         ... 0.1724444  0.4982829  0.        ],[0.00411008 0.41159987 0.         ... 0.14830649 0.5530516  0.        ],[0.00926343 0.4086155  0.         ... 0.1259933  0.5216458  0.        ],[0.00527051 0.44087827 0.         ... 0.12813827 0.42002398 0.        ],[0.         0.47802922 0.         ... 0.13713697 0.37134957 0.        ],[0.         0.47980514 0.         ... 0.16264337 0.33052716 0.        ],[0.         0.47317177 0.         ... 0.18766868 0.29117587 0.        ],[0.         0.45876154 0.         ... 0.18633524 0.2810557  0.        ],[0.         0.484856   0.         ... 0.17018111 0.27896565 0.        ],[0.         0.47849143 0.         ... 0.15396182 0.3162612  0.        ],[0.         0.43285638 0.         ... 0.16742231 0.4372779  0.        ],[0.00769068 0.32129377 0.         ... 0.15590537 0.4800287  0.        ]
1-47709-A-16.wav,0,[0.         0.27394605 0.         ... 0.15724924 0.59733725 0.        ],[0.         0.19137713 0.         ... 0.09942981 0.5864615  0.        ],[0.         0.24593782 0.         ... 0.12037808 0.48218018 0.        ],[0.         0.26022473 0.         ... 0.13370262 0.4432901  0.        ],[0.         0.32497567 0.         ... 0.16913642 0.4661749  0.        ],[0.         0.27239284 0.         ... 0.15404835 0.5638169  0.        ],[0.         0.13179114 0.         ... 0.10820489 0.6669182  0.        ],[0.         0.02701324 0.         ... 0.07399553 0.69779754 0.        ],[0.         0.08151996 0.         ... 0.06955801 0.64735997 0.        ],[0.         0.24423125 0.         ... 0.0911487  0.58698714 0.        ],[0.         0.349278   0.         ... 0.12874167 0.6010984  0.        ],[0.         0.31577423 0.         ... 0.14051048 0.6087561  0.        ],[0.         0.27571958 0.         ... 0.12895647 0.5842803  0.        ],[0.         0.2916976  0.         ... 0.13980332 0.59941375 0.        ],[0.         0.2920033  0.         ... 0.15856771 0.6301117  0.        ]
1-47714-A-16.wav,0,[0.         0.30572444 0.         ... 0.16674925 0.6018654  0.        ],[0.         0.28011674 0.         ... 0.11566015 0.5646877  0.        ],[0.         0.33321732 0.         ... 0.12812719 0.59572446 0.        ],[0.         0.288704   0.         ... 0.11957724 0.594897   0.        ],[0.         0.263432   0.         ... 0.11631729 0.60143673 0.        ],[0.         0.30091095 0.         ... 0.14015374 0.5662361  0.        ],[0.         0.32647955 0.         ... 0.1476078  0.5694268  0.        ],[0.         0.3611067  0.         ... 0.15684949 0.59847814 0.        ],[0.         0.371119   0.         ... 0.16554789 0.5762608  0.        ],[0.         0.41290691 0.         ... 0.16417137 0.5789733  0.        ],[0.         0.40700832 0.         ... 0.15674737 0.49794605 0.        ],[0.         0.34113857 0.         ... 0.13240667 0.5012145  0.        ],[0.         0.33770323 0.         ... 0.14911734 0.4812202  0.        ],[0.         0.33125746 0.         ... 0.13081801 0.48878607 0.        ],[0.         0.3490881  0.         ... 0.14975701 0.5070844  0.        ]
1-48413-A-38.wav,0,[0.         0.36670732 0.         ... 0.2767079  0.7029952  0.        ],[0.         0.39050755 0.         ... 0.30202246 0.75787735 0.        ],[0.         0.37708813 0.         ... 0.24043453 0.6948094  0.        ],[0.         0.3666708  0.         ... 0.25794584 0.73581105 0.        ],[0.         0.3961927  0.         ... 0.26268193 0.77776253 0.        ],[0.         0.37731886 0.         ... 0.2398089  0.7398826  0.        ],[0.         0.31455415 0.         ... 0.25560144 0.71536803 0.        ],[0.         0.2889479  0.         ... 0.22348458 0.6956589  0.        ],[0.         0.37907922 0.         ... 0.21598725 0.6929368  0.        ],[0.         0.36369604 0.         ... 0.23555726 0.69302356 0.        ],[0.         0.3286733  0.         ... 0.21487999 0.67157364 0.        ],[0.         0.39159256 0.         ... 0.19942957 0.6935775  0.        ],[0.         0.35841832 0.         ... 0.20627946 0.6896599  0.        ],[0.         0.36081707 0.         ... 0.20935862 0.73999894 0.        ],[0.         0.33303475 0.         ... 0.17364338 0.6403639  0.        ]
1-50060-A-10.wav,0,[0.         0.42565382 0.         ... 0.12221955 0.14903808 0.        ],[0.         0.38313293 0.         ... 0.16458209 0.         0.        ],[0.         0.39743263 0.         ... 0.15043528 0.         0.        ],[0.         0.40107054 0.         ... 0.15091486 0.09372973 0.        ],[0.         0.3641049  0.         ... 0.14309427 0.09641477 0.        ],[0.         0.30604973 0.         ... 0.15439117 0.06288099 0.        ],[0.         0.30109492 0.         ... 0.15367311 0.08948123 0.        ],[0.         0.36124355 0.         ... 0.14010511 0.05757689 0.        ],[0.         0.43274462 0.         ... 0.14616889 0.         0.        ],[0.         0.46757483 0.         ... 0.1462144  0.         0.        ],[0.         0.49281275 0.         ... 0.14225766 0.         0.        ],[0.         0.46414298 0.         ... 0.15535343 0.         0.        ],[0.         0.37294772 0.         ... 0.16459088 0.         0.        ],[0.         0.21500883 0.         ... 0.17829613 0.         0.        ],[0.         0.26324823 0.         ... 0.1783782  0.1094729  0.        ]
1-51035-A-16.wav,0,[0.         0.33761695 0.         ... 0.14413422 0.59608597 0.        ],[0.         0.3795563  0.         ... 0.15065122 0.555642   0.        ],[0.         0.30516282 0.         ... 0.13442996 0.578832   0.        ],[0.         0.31454128 0.         ... 0.1304234  0.5740256  0.        ],[0.         0.37370542 0.         ... 0.13097665 0.5553734  0.        ],[0.         0.3984504  0.         ... 0.13017587 0.5187681  0.        ],[0.         0.40688115 0.         ... 0.12784806 0.46780077 0.        ],[0.         0.37789047 0.         ... 0.09879591 0.46684372 0.        ],[0.         0.3172832  0.         ... 0.07710379 0.5210293  0.        ],[0.         0.31403226 0.         ... 0.08299334 0.5622164  0.        ],[0.         0.34655392 0.         ... 0.09888532 0.5285457  0.        ],[0.         0.42009893 0.         ... 0.12277848 0.50615907 0.        ],[0.         0.43364465 0.         ... 0.14395843 0.54424006 0.        ],[0.         0.44576308 0.         ... 0.13344015 0.5765591  0.        ],[0.         0.39078784 0.         ... 0.13623634 0.5630565  0.        ]
1-51036-A-16.wav,0,[0.         0.40538114 0.         ... 0.13840118 0.5819675  0.        ],[0.         0.4792563  0.         ... 0.14615977 0.6035329  0.        ],[0.         0.4606755  0.         ... 0.14206485 0.6137439  0.        ],[0.         0.43761235 0.         ... 0.1326302  0.6213687  0.        ],[0.         0.41471502 0.         ... 0.13949221 0.6010968  0.        ],[0.         0.39708316 0.         ... 0.14447099 0.5689074  0.        ],[0.         0.3751515  0.         ... 0.15161194 0.58957046 0.        ],[0.        0.3760577 0.        ... 0.1511262 0.6125945 0.       ],[0.         0.38528353 0.         ... 0.13915116 0.5906483  0.        ],[0.         0.4075979  0.         ... 0.11707726 0.53534174 0.        ],[0.         0.37508526 0.         ... 0.11233423 0.53269184 0.        ],[0.         0.3500563  0.         ... 0.11605141 0.5235006  0.        ],[0.         0.384998   0.         ... 0.12166507 0.52830136 0.        ],[0.         0.4069175  0.         ... 0.12050353 0.54476196 0.        ],[0.         0.39142773 0.         ... 0.13636228 0.4873504  0.        ]
1-51037-A-16.wav,0,[0.         0.17221145 0.         ... 0.09069191 0.48306614 0.        ],[0.         0.18584609 0.         ... 0.04707645 0.3130772  0.        ],[0.         0.21862495 0.         ... 0.00457504 0.35553306 0.        ],[0.         0.2560159  0.         ... 0.         0.34137535 0.        ],[0.         0.32020533 0.         ... 0.         0.29980135 0.        ],[0.         0.35963023 0.         ... 0.         0.2793916  0.        ],[0.         0.3349633  0.         ... 0.         0.26275465 0.        ],[0.         0.3238501  0.         ... 0.         0.27256888 0.        ],[0.         0.33556214 0.         ... 0.00769228 0.26277697 0.        ],[0.         0.34823737 0.         ... 0.02598654 0.24435532 0.        ],[0.         0.41085604 0.         ... 0.04323488 0.15901297 0.        ],[0.         0.46709698 0.         ... 0.03946906 0.08690727 0.        ],[0.         0.42775884 0.         ... 0.04713002 0.18366301 0.        ],[0.         0.3721319  0.         ... 0.04663105 0.2859818  0.        ],[0.         0.34290123 0.         ... 0.08923776 0.37336493 0.        ]
1-53501-A-32.wav,0,[0.         0.35126898 0.         ... 0.29004312 0.49045026 0.        ],[0.         0.37415054 0.         ... 0.4137768  0.4115847  0.        ],[0.         0.3852286  0.         ... 0.3995825  0.40936175 0.        ],[0.         0.40573052 0.         ... 0.36946088 0.4095356  0.        ],[0.         0.46912187 0.         ... 0.3324971  0.36708185 0.        ],[0.        0.5328256 0.        ... 0.3342836 0.2923967 0.       ],[0.         0.48481113 0.         ... 0.38897026 0.4551413  0.        ],[0.         0.49661887 0.         ... 0.33509856 0.5767551  0.        ],[0.         0.4450127  0.         ... 0.21372725 0.59320396 0.        ],[0.         0.8512279  0.         ... 0.16423504 0.33312947 0.        ],[0.         0.64984536 0.         ... 0.09876205 0.561764   0.        ],[0.         0.33718175 0.         ... 0.15212262 0.5909165  0.        ],[0.         0.33718175 0.         ... 0.15212262 0.5909165  0.        ],[0.         0.33718175 0.         ... 0.15212262 0.5909165  0.        ],[0.         0.46027458 0.         ... 0.16685784 0.5818405  0.        ]
1-54958-A-10.wav,0,[0.         0.44991547 0.         ... 0.11604416 0.19988164 0.        ],[0.         0.45774555 0.         ... 0.16044429 0.         0.        ],[0.         0.38579285 0.         ... 0.19428682 0.07721239 0.        ],[0.         0.32718253 0.         ... 0.22203186 0.12426999 0.        ],[0.         0.3481604  0.         ... 0.22076453 0.26869804 0.        ],[0.         0.36654902 0.         ... 0.18572772 0.36484438 0.        ],[0.         0.40972716 0.         ... 0.17134789 0.33643773 0.        ],[0.         0.41559723 0.         ... 0.18628076 0.21505114 0.        ],[0.         0.34661138 0.         ... 0.21326077 0.09434891 0.        ],[0.         0.3490889  0.         ... 0.20492291 0.12181345 0.        ],[0.         0.39214972 0.         ... 0.17494375 0.11644    0.        ],[0.         0.3928855  0.         ... 0.17252338 0.         0.        ],[0.         0.37704766 0.         ... 0.17573662 0.         0.        ],[0.        0.3679589 0.        ... 0.1759722 0.        0.       ],[0.         0.37911186 0.         ... 0.1583565  0.21370992 0.        ]
1-56311-A-10.wav,0,[0.         0.21109663 0.         ... 0.15385504 0.43238878 0.        ],[0.         0.10754789 0.         ... 0.19474192 0.27086043 0.        ],[0.         0.17412409 0.         ... 0.1764932  0.25252384 0.        ],[0.         0.2576439  0.         ... 0.16810843 0.3650028  0.        ],[0.         0.3096032  0.         ... 0.17342359 0.39012295 0.        ],[0.         0.2889784  0.         ... 0.18289863 0.2939947  0.        ],[0.         0.26934978 0.         ... 0.17877202 0.20536464 0.        ],[0.         0.27789104 0.         ... 0.146092   0.26261303 0.        ],[0.         0.25962678 0.         ... 0.12663485 0.28613663 0.        ],[0.         0.24817987 0.         ... 0.11975925 0.2813993  0.        ],[0.         0.25908634 0.         ... 0.14872836 0.3118303  0.        ],[0.         0.27473375 0.         ... 0.16176914 0.32837507 0.        ],[0.         0.27315405 0.         ... 0.17027336 0.3471728  0.        ],[0.         0.25177252 0.         ... 0.16672438 0.25910696 0.        ],[0.         0.28329936 0.         ... 0.17335477 0.3763331  0.        ]
1-57163-A-38.wav,0,[0.         0.02600655 0.         ... 0.2991114  0.585755   0.        ],[0.         0.10076073 0.         ... 0.41913822 0.75667703 0.        ],[0.         0.17867072 0.         ... 0.513324   0.69908935 0.        ],[0.         0.12131336 0.         ... 0.55572414 0.7315864  0.        ],[0.         0.08715057 0.         ... 0.49122813 0.7011992  0.        ],[0.         0.12637094 0.         ... 0.4626122  0.66551864 0.        ],[0.         0.1458379  0.         ... 0.45680025 0.59536904 0.        ],[0.         0.11982647 0.         ... 0.4560926  0.5336675  0.        ],[0.         0.06336951 0.         ... 0.48003012 0.6263671  0.        ],[0.         0.06349018 0.         ... 0.50846153 0.68014145 0.        ],[0.         0.13986233 0.         ... 0.5405148  0.730563   0.        ],[0.         0.02583244 0.         ... 0.5077187  0.6920704  0.        ],[0.         0.03168109 0.         ... 0.48708436 0.6814744  0.        ],[0.        0.2193296 0.        ... 0.4683112 0.7671777 0.       ],[0.         0.3493303  0.         ... 0.3528094  0.64646626 0.        ]
